time,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52
0,120.138565,111.69212,110.158295,128.88084,120.15102,120.18143,132.07944,119.74066,132.01546,119.97751,119.67549,120.09898,101.94631,119.43976,130.64145,119.78624,118.63657,120.11339,120.324524,131.00368,120.32346,125.78713,120.548515,120.488174,131.19249,120.07522,121.14397,120.271126,119.7644,120.05696,126.126434,151.00153,107.832054,116.30406,132.2693,120.80243,130.74275,131.54678,120.02042,120.61334,120.74419,118.24813,120.58567,119.94031,122.8654,132.27274,121.76833,126.80037,121.94009,109.85941,117.808495,119.703,129.67117
1,121.096954,116.34523,111.709694,129.55466,121.62615,121.726395,116.39362,118.050354,123.850494,119.54815,126.244934,122.941414,141.67104,120.85004,129.83116,116.224236,126.75649,120.22618,122.97055,122.35135,121.885315,126.933235,130.50148,120.646355,134.30554,125.419815,126.3965,122.49021,121.83501,124.52215,125.3012,101.23757,115.43805,129.38823,136.62138,128.86766,130.39886,126.21078,123.002365,120.82958,122.75383,126.00819,124.59719,123.73897,133.68987,126.58675,121.896706,129.91187,122.69976,110.51819,122.85139,130.0535,128.05377
2,121.377884,130.3265,122.15383,118.841415,120.95685,115.41588,124.882965,114.97131,132.18495,124.61882,128.87204,120.52953,104.88998,121.2785,119.10256,117.437515,127.28075,120.80475,124.213745,121.68036,133.04144,126.511856,97.22423,120.08816,136.23665,129.02701,125.87372,126.21433,117.20778,127.43385,122.32913,147.09158,108.773994,115.70112,109.969345,126.93832,115.61467,118.189804,130.54845,126.04561,122.47105,128.74457,122.36836,125.64866,112.93774,119.99839,116.053635,124.67626,118.439896,111.88001,119.7998,120.14453,129.00175
3,130.25673,126.24728,127.16345,129.43277,119.96006,121.06316,129.58972,112.05929,115.16807,124.15109,124.67224,123.12803,139.53789,127.25153,126.7497,131.0802,130.81952,121.556244,123.95793,118.403404,125.16606,125.28212,125.01193,133.17361,137.66748,121.45886,126.6886,128.72803,122.31906,125.77835,121.44372,152.11856,106.7089,119.90347,110.90214,118.75664,127.18335,120.539055,123.833374,119.22781,122.59296,126.16076,124.866455,131.03316,117.2056,115.51309,121.35248,124.21379,122.28512,122.992096,121.11223,122.09344,128.64201
4,127.71223,120.51577,130.32695,116.85615,120.67109,118.97845,132.49251,113.93654,116.82161,126.453766,125.6966,127.020996,138.87549,124.22645,129.57507,126.08761,125.23492,128.53633,124.39806,118.3662,127.22706,120.55149,127.08052,123.532524,139.89899,129.12386,126.36738,123.53533,129.32127,128.02954,121.747086,141.74681,106.89431,124.136116,110.93312,128.48128,130.4935,124.41721,121.94289,125.810844,120.69959,127.34049,127.56179,127.84814,119.03546,117.431305,119.39442,123.244606,120.140785,123.05498,122.716515,132.73709,126.79647
5,128.44447,125.87585,127.14012,115.95924,124.395424,117.56416,128.51959,115.435135,120.54928,125.053825,124.569145,126.40862,137.87509,130.35857,127.54332,126.67854,136.29715,125.0691,124.92409,122.491936,124.285126,126.37962,129.65924,124.65044,147.02083,129.98315,124.59926,126.972275,129.31168,125.5434,123.130775,145.53168,106.809616,130.20882,111.3673,120.20991,127.61864,124.80674,126.6364,126.12945,127.38169,129.44,126.50698,127.88635,124.08113,116.940025,119.41977,124.21281,119.8077,113.40038,121.719635,120.49908,116.34547
6,131.36461,126.16499,131.07475,114.63646,127.81815,114.47539,120.764626,118.52975,121.32033,128.72224,125.98689,125.69907,137.18309,124.61672,126.31477,124.943665,123.75707,122.842316,124.34968,119.774605,126.446205,129.81172,130.67667,123.40342,143.7275,116.411064,121.47831,126.27323,127.00809,129.46219,122.003815,135.85358,107.55962,130.21103,111.572136,120.37111,137.61433,121.32125,117.38219,127.266945,120.30876,117.21791,123.75957,124.46071,125.71348,127.86598,119.158066,124.03905,119.185074,113.90576,119.66123,121.611694,95.077255
7,130.71735,130.31586,131.0381,114.33631,124.45898,121.528656,124.50811,122.537964,121.62072,120.88578,129.56537,127.345146,136.61755,125.439224,129.46353,124.3697,124.416756,128.58974,125.10897,119.73577,123.411415,123.96458,132.87595,129.3255,143.51662,131.5857,120.24767,133.53291,131.82764,128.16566,120.6159,138.8617,109.181,121.20194,112.024506,120.629585,136.98389,126.8381,130.30592,118.480965,118.43558,118.48392,124.85803,127.834564,124.327225,128.49544,119.43503,127.09975,123.17942,114.36751,120.50652,132.17372,112.72722
8,130.57658,129.74054,125.948,116.680855,126.49533,117.410805,127.480675,123.58604,122.132576,123.394585,128.59918,127.9861,135.5088,126.68794,130.3618,125.61849,126.65284,122.07443,125.08725,119.75039,125.90963,129.99133,131.85484,127.646904,147.34564,136.15428,119.53048,129.08417,132.43497,130.9571,120.45543,130.27756,110.1514,127.80509,111.81518,127.64895,131.26259,127.96237,131.17255,116.39755,122.04726,131.66171,124.75769,129.14842,123.09829,125.75748,119.82238,125.70579,120.9183,119.606255,120.490135,123.5147,92.962975
9,129.18428,130.7931,128.90779,119.53759,122.63785,117.41907,123.81121,121.01858,119.86424,121.913605,127.17068,127.05383,135.21448,128.37027,133.16388,125.92755,130.5092,123.382195,129.37424,125.90133,125.0338,130.05055,133.52025,127.04545,143.74004,125.87567,120.30201,122.028175,130.72137,131.36504,126.45115,127.22216,112.4329,131.32889,137.97484,122.418755,134.00098,117.03495,114.72986,118.80522,124.21631,134.88113,124.51617,127.78885,126.33633,125.801155,125.96067,123.28967,120.42175,118.82747,121.00452,124.93407,121.33667
