time,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52
0,120.138565,111.69212,110.158295,126.75446,120.15102,120.18143,131.70753,119.74066,131.51848,119.97751,119.67549,120.09898,101.94631,119.43976,129.87697,119.78624,118.63657,120.11339,120.324524,130.26263,120.28089,125.78713,120.548515,120.488174,131.19249,120.07522,121.14397,120.271126,119.87921,120.05696,125.710205,150.54602,107.832054,116.30406,132.2693,120.80243,129.93864,126.57845,120.02042,120.61334,120.74419,118.24813,120.632416,119.94031,121.16928,132.27274,121.76833,126.840065,121.94014,109.85941,117.808495,119.703,129.67117
1,121.096954,116.34523,111.709694,128.33278,121.62615,121.726395,116.39362,118.050354,123.850494,119.54815,126.244934,122.78529,141.72911,120.85004,129.75928,114.260826,126.52923,120.22618,122.97055,122.35135,121.885315,126.933235,127.78278,120.646355,134.30554,125.419815,126.37188,122.49021,121.83501,124.52215,125.3012,101.23757,114.97126,128.20444,140.69592,128.28091,130.1505,125.635124,123.002365,120.82958,122.75383,126.00819,124.59719,123.73897,133.39732,127.46514,121.896706,129.77618,122.69976,110.51819,122.7689,130.51297,128.01823
2,121.377884,130.77222,122.15383,118.841415,120.95685,115.41588,124.882965,114.97131,132.64404,124.61882,128.87204,120.52953,104.88998,121.2785,119.10256,117.437515,127.28075,120.80475,124.213745,127.151505,121.08581,126.511856,135.11751,118.10775,136.23665,128.59149,125.87372,126.21433,117.20778,127.52237,122.32913,147.09158,108.35118,115.70112,109.969345,126.96742,115.61467,118.189804,130.0777,125.510345,122.47105,127.81528,122.36866,125.64866,112.93774,119.99839,116.053635,122.81035,118.439896,111.88001,119.7998,120.14453,129.00175
3,130.23741,126.24728,127.16345,129.852,119.96006,121.06316,129.15645,112.05929,115.16807,123.624016,124.67224,123.11126,139.55257,126.91104,126.7497,131.01631,130.75974,121.556244,123.95793,118.838486,125.16606,125.28212,125.01193,132.9528,137.66748,121.45886,126.66327,128.14024,122.31906,125.77835,121.44372,152.1424,106.7089,119.90347,110.90214,118.75664,127.18335,120.539055,123.833374,119.22781,122.59296,126.16076,124.866455,131.11473,117.2056,115.51309,121.23887,124.21379,122.25473,122.96082,121.11223,122.09344,128.61235
4,129.98572,120.51577,130.01329,116.85615,120.67109,118.97845,132.79312,113.93654,116.82161,126.453766,125.6966,127.020996,138.9197,124.22645,129.57507,126.08761,125.23492,131.7867,124.39806,118.3662,127.22706,120.55149,127.08052,126.05344,139.89899,131.56822,126.31964,123.53533,129.45113,128.83267,121.747086,141.74681,106.89431,124.136116,110.93312,127.75539,130.4935,124.41721,121.94289,126.62234,120.69959,127.34049,127.58621,127.84814,119.03546,117.431305,119.64821,123.244606,120.140785,122.59905,122.716515,132.7988,126.79647
5,128.44447,125.87585,127.14012,115.95924,124.395424,116.1149,128.51959,115.435135,120.54928,125.053825,124.569145,126.40862,137.94275,128.80446,127.54332,126.67854,136.49692,126.63977,124.92409,122.491936,124.341545,126.37416,129.65924,124.65044,146.582,130.03659,124.59926,126.972275,129.35715,125.5434,123.130775,145.6007,106.809616,130.5175,111.3673,120.20991,127.61864,124.80674,126.6364,126.04283,125.75077,128.88719,126.50698,127.88635,121.94285,123.60548,119.41977,124.21281,119.8077,113.40038,121.719635,120.49908,116.34547
6,131.36461,126.16499,131.24825,114.63646,128.07895,114.47539,120.764626,118.52975,121.32033,129.70041,125.98689,125.69907,137.13348,124.61672,126.31477,124.943665,123.75707,122.842316,124.34968,119.774605,126.251045,130.01541,130.67667,123.40342,143.7275,116.411064,121.389915,126.27323,127.00809,129.55432,122.003815,135.85358,107.55962,130.94037,111.572136,120.37111,137.61433,121.32125,117.38219,128.13942,120.30876,117.21791,123.75957,124.46071,125.71348,127.86598,119.2672,124.03905,119.185074,113.90576,119.671036,121.611694,95.077255
7,130.71735,130.2949,130.82538,114.33631,124.45898,121.528656,124.50811,123.297676,121.62072,120.88578,130.00998,127.345146,136.5395,125.439224,129.46353,124.3697,124.416756,129.4486,125.10897,119.73577,123.02856,123.96458,132.87595,130.67905,143.51662,133.08554,120.141975,131.90366,131.82764,128.91939,120.6159,138.91154,109.181,121.20194,112.024506,120.629585,136.98389,127.08331,130.41074,118.480965,118.43558,118.48392,124.85803,127.834564,124.327225,128.68108,119.50353,127.09975,123.17942,114.36751,120.443886,131.40477,112.72722
8,130.57658,129.74054,125.948,116.680855,126.66326,117.410805,127.480675,123.58604,122.132576,123.55955,128.59918,127.98861,135.53043,126.68794,130.3618,125.61849,126.65284,122.07443,125.08725,119.75039,125.90963,130.52591,131.85484,127.646904,147.9468,136.01695,119.424446,128.75282,132.43497,130.42186,120.45543,130.27756,110.1514,127.80509,111.81518,128.16995,131.32234,128.08087,130.82101,116.39755,122.04726,131.68169,124.75769,129.14842,123.09829,125.75748,119.768555,125.70579,120.92442,119.548096,120.490135,123.5147,92.962975
9,129.18428,130.7931,128.90779,119.53759,123.01281,117.41907,123.81121,121.01858,119.86424,121.913605,127.17068,126.51751,134.763,128.37027,133.16388,125.92755,130.5092,123.382195,127.59001,125.90133,122.492386,130.05055,133.52025,127.04545,151.6516,125.87567,120.30201,122.028175,130.734,131.67274,126.45115,127.22216,112.4329,131.32889,137.97484,122.418755,134.00098,117.03495,114.72986,118.80522,124.21631,134.15007,124.51617,127.78885,126.33633,125.801155,125.96067,123.28967,120.42175,119.1319,121.00452,124.93407,121.33667
