time,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52
0,120.138565,111.69212,110.158295,126.74056,120.15102,120.18143,131.20355,119.74066,131.1907,119.97751,119.67549,120.09898,101.94631,119.43976,129.65076,119.78624,118.63657,120.11339,120.324524,129.70808,120.23632,125.78713,120.548515,120.488174,131.19249,120.07522,121.14397,120.271126,119.878105,120.05696,125.599236,150.3737,107.832054,116.30406,132.2693,120.80243,129.8497,126.707695,120.02042,120.61334,120.74419,118.24813,120.63197,119.94031,121.091286,132.27274,121.76833,126.259834,121.94014,109.85941,117.808495,119.703,129.67117
1,121.096954,116.34523,111.709694,128.32834,121.62615,121.726395,116.39362,118.050354,123.850494,119.54815,126.244934,122.78598,141.73643,120.85004,129.74925,114.268105,126.535126,120.22618,122.97055,122.35135,121.885315,126.933235,127.793686,120.646355,134.30554,125.419815,126.3812,122.49021,121.83501,124.52215,125.3012,101.23757,114.96308,128.21162,140.67198,128.29167,130.16806,125.640205,123.002365,120.82958,122.75383,126.00819,124.59719,123.73897,133.39862,127.450775,121.896706,129.81412,122.69976,110.51819,122.76882,130.50996,128.02144
2,121.377884,130.76375,122.15383,118.841415,120.95685,115.41588,124.882965,114.97131,132.6359,124.61882,128.87204,120.52953,104.88998,121.2785,119.10256,117.437515,127.28075,120.80475,124.213745,127.172134,121.091736,126.511856,135.10834,118.102036,136.23665,128.60852,125.87372,126.21433,117.20778,127.53902,122.32913,147.09158,108.3651,115.70112,109.969345,126.99993,115.61467,118.189804,130.07686,125.53252,122.47105,127.839424,122.36866,125.64866,112.93774,119.99839,116.053635,122.855385,118.439896,111.88001,119.7998,120.14453,129.00175
3,130.23953,126.24728,127.16345,129.85968,119.96006,121.06316,129.15314,112.05929,115.16807,123.626854,124.67224,123.11126,139.55217,126.90372,126.7497,131.01253,130.7523,121.556244,123.95793,118.84151,125.16606,125.28212,125.01193,132.95065,137.66748,121.45886,126.67414,128.14311,122.31906,125.77835,121.44372,152.14067,106.7089,119.90347,110.90214,118.75664,127.18335,120.539055,123.833374,119.22781,122.59296,126.16076,124.866455,131.11472,117.2056,115.51309,121.237915,124.21379,122.2555,122.95369,121.11223,122.09344,128.6135
4,129.9878,120.51577,130.01128,116.85615,120.67109,118.97845,132.78978,113.93654,116.82161,126.453766,125.6966,127.020996,138.92085,124.22645,129.57507,126.08761,125.23492,131.77411,124.39806,118.3662,127.22706,120.55149,127.08052,126.05615,139.89899,131.56807,126.31146,123.53533,129.45316,128.83636,121.747086,141.74681,106.89431,124.136116,110.93312,127.7579,130.4935,124.41721,121.94289,126.63273,120.69959,127.34049,127.58216,127.84814,119.03546,117.431305,119.648415,123.244606,120.140785,122.59679,122.716515,132.79875,126.79647
5,128.44447,125.87585,127.14012,115.95924,124.395424,116.114105,128.51959,115.435135,120.54928,125.053825,124.569145,126.40862,137.942,128.72159,127.54332,126.67854,136.51738,126.67164,124.92409,122.491936,124.33652,126.3626,129.65924,124.65044,146.58636,130.00638,124.59926,126.972275,129.36694,125.5434,123.130775,145.60736,106.809616,130.50636,111.3673,120.20991,127.61864,124.80674,126.6364,126.04874,125.76902,128.88715,126.50698,127.88635,121.93385,123.615875,119.41977,124.21281,119.8077,113.40038,121.719635,120.49908,116.34547
6,131.36461,126.16499,131.24596,114.63646,128.07689,114.47539,120.764626,118.52975,121.32033,129.69385,125.98689,125.69907,137.13434,124.61672,126.31477,124.943665,123.75707,122.842316,124.34968,119.774605,126.266884,130.00804,130.67667,123.40342,143.7275,116.411064,121.397545,126.27323,127.00809,129.55533,122.003815,135.85358,107.55962,130.93611,111.572136,120.37111,137.61433,121.32125,117.38219,128.13243,120.30876,117.21791,123.75957,124.46071,125.71348,127.86598,119.266914,124.03905,119.185074,113.90576,119.67248,121.611694,95.077255
7,130.71735,130.29877,130.82858,114.33631,124.45898,121.528656,124.50811,123.29607,121.62072,120.88578,130.0043,127.345146,136.54305,125.439224,129.46353,124.3697,124.416756,129.44211,125.10897,119.73577,123.034454,123.96458,132.87595,130.68712,143.51662,133.08507,120.13696,131.90237,131.82764,128.92184,120.6159,138.91231,109.181,121.20194,112.024506,120.629585,136.98389,127.08598,130.40752,118.480965,118.43558,118.48392,124.85803,127.834564,124.327225,128.67458,119.504364,127.09975,123.17942,114.36751,120.44294,131.39975,112.72722
8,130.57658,129.74054,125.948,116.680855,126.66528,117.410805,127.480675,123.58604,122.132576,123.562744,128.59918,127.98861,135.53297,126.68794,130.3618,125.61849,126.65284,122.07443,125.08725,119.75039,125.90963,130.52776,131.85484,127.646904,147.94354,136.0158,119.43891,128.75272,132.43497,130.42336,120.45543,130.27756,110.1514,127.80509,111.81518,128.1624,131.32207,128.0822,130.81877,116.39755,122.04726,131.67836,124.75769,129.14842,123.09829,125.75748,119.76892,125.70579,120.92601,119.5431,120.490135,123.5147,92.962975
9,129.18428,130.7931,128.90779,119.53759,123.042404,117.41907,123.81121,121.01858,119.86424,121.913605,127.17068,126.52911,134.76172,128.37027,133.16388,125.92755,130.5092,123.382195,127.6222,125.90133,122.52728,130.05055,133.52025,127.04545,151.62555,125.87567,120.30201,122.028175,130.7462,131.637,126.45115,127.22216,112.4329,131.32889,137.97484,122.418755,134.00098,117.03495,114.72986,118.80522,124.21631,134.10811,124.51617,127.78885,126.33633,125.801155,125.96067,123.28967,120.42175,119.13481,121.00452,124.93407,121.33667
10,129.39107,135.11816,126.88992,118.313995,119.006874,123.27209,123.27058,119.60849,119.103096,124.911125,130.99179,126.774055,133.88058,128.33398,130.13248,129.00002,130.54941,121.72376,127.84267,128.90012,125.807915,131.44695,130.75859,131.04936,145.78563,133.51233,119.9685,125.29218,130.22307,129.51358,128.24037,124.03659,114.87368,126.46312,137.10051,122.88641,133.86801,120.308334,120.440186,127.782234,125.6756,132.10356,124.03423,127.46057,128.07112,129.25432,128.07011,127.42151,124.4573,114.67655,121.20045,126.191284,117.27632
11,131.42786,128.42412,130.36234,120.70727,123.37423,122.93156,131.59857,114.41414,122.899025,124.38612,127.34675,125.67441,132.74355,129.23505,130.02158,123.28624,124.5029,122.99479,125.934685,128.63478,127.6297,128.6489,135.32086,129.4527,145.95433,131.9529,120.22245,124.78753,127.45427,114.7771,128.45972,125.994125,117.845535,130.48969,137.6092,123.088234,136.75302,117.7139,130.56995,119.80034,127.07697,124.03364,123.10845,127.15871,131.08626,134.1968,126.85965,128.73665,124.940506,114.55657,121.366394,125.9692,130.82248
12,130.86743,124.14689,125.60032,126.33944,126.09496,122.36794,122.446526,116.37648,123.77937,124.90149,126.712616,127.17382,131.76584,128.96422,123.254906,124.607216,131.79462,123.41318,127.50846,124.94249,127.13174,129.85689,133.67326,131.85439,146.77402,128.30992,119.35024,131.1937,131.03477,129.49689,126.73076,122.91011,119.76616,124.31398,140.75882,123.6042,131.39622,121.06261,130.56544,120.02145,120.82505,127.5705,124.07622,128.4767,129.56898,128.71869,127.65107,128.86296,124.530266,114.69702,122.17797,125.55591,130.15092
13,132.19083,124.67654,122.471146,131.00117,127.24918,121.69092,123.50883,112.711105,125.9194,125.01239,131.86101,128.44678,130.71053,129.12389,127.30707,128.80495,130.10576,128.33043,125.65241,121.72782,127.00347,130.5477,135.08247,132.1923,146.0448,125.3266,123.378586,127.89692,132.94484,130.17468,126.01832,114.74558,123.60328,130.76567,137.70569,127.99473,135.50389,120.00582,132.60721,120.92111,120.28396,137.08586,127.19035,126.14639,130.28004,117.247604,129.04443,130.35178,123.08798,120.07786,125.66425,130.05342,129.4798
14,128.96707,122.69619,130.60086,128.35771,128.36488,129.68529,131.01373,117.69583,128.91345,126.22064,126.15257,129.09569,129.63637,129.00322,130.23921,121.9888,127.76008,124.38606,127.47334,117.45244,126.41493,119.338196,133.09056,133.3863,146.36761,127.919785,124.976456,132.00789,132.74371,131.09734,126.017075,112.033066,126.21016,133.72708,137.41328,125.63731,140.83723,119.69694,134.01498,120.55417,128.3042,138.29115,128.1775,122.85717,124.44143,108.48636,129.32494,121.68327,126.70781,115.31736,127.13078,126.30481,129.03847
15,129.84901,125.621506,121.034935,135.42989,127.50607,126.99923,135.40474,120.37611,126.71083,125.468605,132.90958,127.31144,128.68292,129.81822,130.11035,129.25298,121.95436,123.86539,124.49386,123.32487,126.487274,118.73556,131.25548,133.99162,146.17953,130.64264,126.02358,131.64304,128.60776,119.58051,126.54976,108.8905,129.36081,132.45877,138.16966,129.91754,138.09555,128.88828,138.85342,133.09634,120.34869,135.35484,127.06879,126.74428,123.19468,119.932625,130.75269,119.99795,126.889,119.867546,127.37214,126.42977,122.67945
