time,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52
0,120.13856816859972,111.69212384530857,110.15829684460735,,120.15101242911125,120.18142733278995,,119.74066244951088,,119.97751017270326,119.67548766669529,120.09898334202634,101.94631207336148,119.43975640398973,,119.7862427298681,118.6365716893753,120.11338673979192,120.32452576610743,,,125.78713411865083,120.54851295587216,120.48817341135388,131.19248886193597,120.07521452001399,121.14396905041126,120.27112794275325,,120.05695886849682,,,107.83205600152075,116.30405922721837,132.2692994011049,120.80242950783459,,,120.02041703495294,120.61334171000918,120.74418538687029,118.24813317024025,,119.94030489286682,,132.27274134112844,121.76833578308133,,,109.85941612929365,117.80849134683541,119.70300493339175,129.67117812455368
1,121.09695697295398,116.3452273969353,111.70969264701138,,121.6261533034656,121.72639633774723,116.39362294006752,118.05035331720958,123.85049135959378,119.54815183212887,126.24493787223535,,,120.85003800002949,,,,120.22618423116417,122.97054920618831,122.35135109473396,121.88531118420441,126.93323235517434,,120.6463550092539,134.3055438772337,125.41981744124227,,122.49021482544609,121.83500777760213,124.52214883757728,125.30120364551803,101.23757524946647,,,,,,,123.00236747467095,120.82958153425645,122.75383343900965,126.00818369731661,124.59718809512847,123.73896709028742,,,121.89670488149166,,122.69975789202087,110.51818778200388,,,
2,121.37788595037301,,122.15383328936696,118.84141381576671,120.95685144843077,115.41587502632474,124.88296701896321,114.97131696053184,,124.61882266646288,128.87203557137246,120.52953053436529,104.88997364311054,121.27850665571883,119.10256270090126,117.43751381583955,127.28074422235208,120.80474741690595,124.21374887696871,,,126.51185664483293,,,136.2366415772444,,125.87371493012465,126.21433365562855,117.2077826130917,,122.32913457989176,147.0915844900826,,115.70111951707236,109.96934829383986,,115.61467034938568,118.18980507669045,,,122.47104491647093,,,125.64866152268054,112.93773411495603,119.99838858872134,116.05363831397354,,118.43989889458173,111.88001229827472,119.79979947851331,120.14453253391551,129.0017559104626
3,,126.24727960485747,127.16345363566128,,119.96006271710816,121.06316519278295,,112.05928956225445,115.16806763195949,,124.6722449083354,,,,126.74969886834448,,,121.55624269071069,123.95793156692804,,125.16606490085537,125.28212327167178,125.01193099260514,,137.6674829942694,121.4588626793686,,,122.31906182628379,125.77835221200463,121.4437178515572,,106.70890096309235,119.90346946057825,110.9021368086189,118.75664031800837,127.18334974761028,120.53905293500686,123.833374068812,119.22781408403596,122.59295683014108,126.1607600042441,124.8664524889663,,117.20559819215859,115.51309262130559,,124.21378757438814,,,121.11222473236634,122.09343410491849,
4,,120.5157694500895,,116.85614647502311,120.67109269664657,118.97844581305134,,113.93653926755135,116.82160679237697,126.45376413978953,125.69660211105105,127.0209930012577,,124.22644439769462,129.57507075905588,126.08761106718539,125.23491837578818,,124.3980665493208,118.36620685421704,127.22705531014422,120.55149226174709,127.08052208630589,,139.89899345408497,,,123.53532924940085,,,121.74708261542948,141.7468121253727,106.8943105576456,124.13611539130434,110.93312236809334,,130.49349987034478,124.4172138987546,121.9428834527093,,120.69959310356485,127.3404952166466,,127.84813884732174,119.03546409343069,117.43130742291696,,123.24460897619976,120.14078568800744,,122.71651370982802,,126.79646701223302
5,128.44446887332063,125.87584682361465,127.14012050015334,115.95924433731638,124.39542210341496,,128.5195847123968,115.43513551869134,120.54927667055202,125.05382337168712,124.56914204382434,126.40862378409676,,,127.54331769295102,126.6785407987568,,,124.92408708940688,122.49193453031756,,,129.65923807962503,124.65043775003072,,,124.59925747862266,126.9722746668647,,125.54340658013717,123.1307732859231,,106.80961771491513,,111.36730490662687,120.20990862031135,127.61863987605494,124.80673673378014,126.63639953695755,,,,126.50698260951319,127.88634965699347,,,119.41977055737364,124.21280864001153,119.80770281662981,113.40038119605173,121.71963547186724,120.49907411001612,116.34546349359893
6,131.36460871064847,126.16499426682748,,114.63646148741908,,114.47539050201155,120.76462344210806,118.5297504028574,121.32032833894912,,125.98689253545024,125.69907698834085,,124.61672262017106,126.31477140876775,124.94366623891477,123.75706894654472,122.8423135041468,124.34968135068716,119.77460290369967,,,130.67667160307997,123.40341840575554,143.72749428247047,116.41106405891622,,126.27323270523878,127.00808722365369,,122.0038129008257,135.85357703600585,107.55962359933194,,111.57213322909857,120.37110984991182,137.61433228320897,121.32125198894316,117.38218429542655,,120.30875920865678,117.21791377743736,123.75957018762092,124.46070507953932,125.71347475599987,127.86598475866744,,124.03904694199585,119.18507691292055,113.90576512178737,,121.61169550456621,95.0772587358792
7,130.7173499976347,,,114.33631209192114,124.45897451624386,121.52865815748883,124.50810986269207,,121.62071877013167,120.88578146531948,,127.34514305717786,,125.43922372437328,129.46352721090688,124.36969949743363,124.4167556518305,,125.10896695654935,119.73576768238352,,123.9645734631844,132.87594870720125,,143.5166138406032,,,,131.82763946603114,,120.61589948098398,,109.1810012307674,121.20194354852067,112.02450437770109,120.62958581248824,136.98388646209887,,,118.48096799167165,118.43557735385482,118.48391377427603,124.85803413020456,127.83456699950617,124.32722707793418,,,127.09974489805936,123.17942029563905,114.36750657999288,,,112.72722091024006
8,130.57658482511928,129.74054030934604,125.94799809443822,116.68085583094246,,117.41080847416754,127.4806752811682,123.58603739063635,122.13257469324817,,128.59918889575852,,,126.68794100855698,130.36179773838367,125.61849317950384,126.65284004475163,122.07442881973137,125.08725062503638,119.7503920450701,125.90962988559582,,131.8548477796477,127.64690397380421,,,,,132.43497309005892,,120.45542616229618,130.27756480100413,110.1513963562377,127.80509423205375,111.8151785064039,,,,,116.39755018670488,122.04725860291379,,124.75768979397935,129.14842436304176,123.09828568632402,125.75747747549768,,125.70578924491184,,,120.49013308613897,123.51470377283837,92.96297381542159
9,129.18427798186428,130.7931109460529,128.90778655212023,119.53759321315052,,117.41907069573199,123.81121195511835,121.01857950523784,119.86424124969196,121.91360745868873,127.17067551194381,,,128.37027454144658,133.16388253893348,125.92754868619575,130.50920566312132,123.38219185533025,,125.90132760902303,,130.05054581331765,133.52025594657442,127.04544909629908,,125.87566968423491,120.30201093208161,122.0281770520565,,,126.45115230869486,127.22216187886154,112.43290132206806,131.32889298414705,137.9748324228237,122.41875273057721,134.00097535115944,117.03495405741772,114.7298595997575,118.80521940339361,124.21630831722914,,124.51616446306312,127.78885263704746,126.33632989137428,125.8011543411221,125.96066760858098,123.28966954385173,120.42174994843364,,121.00451875494045,124.93406884406023,121.3366714807507
10,129.39106954790984,135.11816942498425,126.8899257464467,118.31399345678692,119.00687136255203,123.27208899499936,123.27057554394727,119.60849265367996,119.10309470954215,124.91112238763853,,126.77405727937034,,128.3339782251018,130.13247883188725,,,121.72376142861053,,,125.80791503389179,131.4469461870672,,,145.78562550703882,,,125.29218638740626,130.22306988672645,,,124.03659287906649,,126.46311878816854,137.1005082292941,122.88641165313074,133.86800524507268,120.30833226627254,120.44018431241449,,125.67559776426374,,124.03423405640359,127.46057107001796,128.07112851870076,,,127.42150779341371,124.45729514890624,114.67654893740207,121.20044954346669,126.19128707067476,117.27632512418212
